"priority","source_type","key","screen","source_hr","target","match_policy","status","notes","activity","view_id"
"P1","android_resource","a11y_precac","main","Prečac","快捷操作","resource_name","draft","主界面快捷操作按钮","",""
"P1","android_resource","a11y_moj_a1_dashboard_title","dashboard","Početni zaslon MojA1 s pregledom usluga","Moj A1 服务概览首页","resource_name","draft","TalkBack 页面标题","",""
"P1","android_resource","trend","navigation","Trend","趋势","resource_name","draft","底部导航","",""
"P1","android_resource","profile","navigation","Profil","个人资料","resource_name","draft","底部导航","",""
"P1","android_resource","shop","navigation","Shop","商城","resource_name","draft","底部导航","",""
"P1","android_resource","logout_title","settings","Odjava","退出登录","resource_name","draft","只翻译按钮，不触发退出","",""
"P1","android_resource","app_settings","settings","Postavke aplikacije","应用设置","resource_name","draft","设置页标题","",""
"P1","android_resource","notifications_settings","settings","Postavke notifikacija","通知设置","resource_name","draft","设置入口","",""
"P1","android_resource","notifications_settings_text","settings","Postavke sadržaja obavijesti","通知内容设置","resource_name","draft","设置入口说明","",""
"P1","android_resource","about_a1_network","settings","O A1 mreži","关于 A1 网络","resource_name","draft","设置分组","",""
"P1","android_resource","terms_of_use_text","settings","Pravne obavijesti","法律声明","resource_name","draft","只翻译入口说明，法律正文不处理","",""
"P1","android_resource","contact_information","settings","Kontakt podaci","联系信息","resource_name","draft","设置入口","",""
"P1","android_resource","contact_information_text","settings","Telefonski brojevi i adrese","电话号码和地址","resource_name","draft","设置入口说明","",""
"P1","android_resource","faq","settings","Najčešća pitanja i odgovori","常见问题","resource_name","draft","设置入口","",""
"P1","android_resource","avoid_confusion","settings","Izbjegni nedoumice","解答常见疑问","resource_name","draft","设置入口说明","",""
"P1","android_resource","about_application","settings","O aplikaciji","关于应用","resource_name","draft","设置分组","",""
"P1","android_resource","instructions_settings","settings","Upute za korištenje","使用指南","resource_name","draft","设置入口","",""
"P1","android_resource","instructions_settings_text","settings","Upoznaj Moj A1 aplikaciju","了解 Moj A1 应用","resource_name","draft","设置入口说明","",""
"P1","android_resource","app_version","settings","Verzija aplikacije","应用版本","resource_name","draft","版本号本身保持原样","",""
"P1","android_resource","design_develop","settings","Dizajn i razvoj","设计与开发","resource_name","draft","开发者名称保持原样","",""
"P1","android_resource","buy_token_webshop","shop","Kupi bon u webshopu","在网上商城购买充值券","resource_name","draft","不自动打开网页","",""
"P1","android_resource","surcharge_token","shop","Unesi bon","输入充值码","resource_name","draft","充值入口","",""
"P1","android_resource","renew_token_new","voucher","Obnovi račun bonom","使用充值券充值","resource_name","draft","不提交充值码","",""
"P1","android_resource","token_14_digit_token","voucher","14-znamenkasti broj s bona","充值券上的 14 位号码","resource_name","draft","长度与号码值不得改变","",""
"P1","android_resource","a11y_unesite_kod_bona","voucher","Unesite kod bona","输入充值码","resource_name","draft","输入值永不替换或记录","",""
"P1","android_resource","scan_token","voucher","Skeniraj bon kamerom","用相机扫描充值券","resource_name","draft","只翻译按钮，不调用相机","",""
"P1","server_exact","server.p1.dashboard.notifications_a11y","dashboard","Obavijesti","通知","exact+activity+view_id","draft","顶部通知按钮无障碍标签","hr.infinum.mojvip.ui.main.MainActivity","actionTouchTargetArea"
"P1","server_exact","server.p1.dashboard.settings_a11y","dashboard","Postavke","设置","exact+activity+view_id","draft","顶部设置按钮无障碍标签","hr.infinum.mojvip.ui.main.MainActivity","actionTouchTargetArea"
"P1","server_exact","server.p1.dashboard.basic_title","dashboard","Imaš osnovnu tarifu","你正在使用基础套餐","exact+activity+view_id","draft","服务端首页卡片","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.dashboard.basic_body","dashboard","Ona traje dok ne uključiš neku od povoljnijih mjesečnih tarifa. Surfaj i zovi bez brige!","在你启用其他更优惠的月度套餐前，此套餐会一直有效。放心上网和通话！","exact+activity+view_id","draft","服务端首页卡片","hr.infinum.mojvip.ui.main.MainActivity","descriptionLabel"
"P1","server_exact","server.p1.offer","dashboard_profile","Pogledaj ponudu","查看套餐","exact+activity+view_id","draft","首页与资料页按钮文字","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.dashboard.intro_title","dashboard","Upoznajmo se i uzmi 3 eura","完善资料，领取 3 欧元","exact+activity+view_id","draft","服务端活动卡片，金额仅当前活动精确匹配","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.dashboard.intro_body","dashboard","Ako želiš da te zovemo pravim imenom, ostavi nam svoje podatke i uzmi 3 eura!","留下个人资料，让我们以正确的名字称呼你，并领取 3 欧元！","exact+activity+view_id","draft","服务端活动卡片","hr.infinum.mojvip.ui.main.MainActivity","descriptionLabel"
"P1","server_exact","server.p1.dashboard.register","dashboard","Registriraj se!","注册","exact+activity+view_id","draft","只翻译按钮，不提交资料","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.dashboard.snack_title","dashboard","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","服务端轮播卡片","hr.infinum.mojvip.ui.main.MainActivity","cardTitle"
"P1","server_exact","server.p1.dashboard.snack_body","dashboard","Kada trebaš podebljati tarifu, snackovi su tu za tebe!","需要增加套餐流量时，流量加餐随时为你准备！","exact+activity+view_id","draft","服务端轮播卡片","hr.infinum.mojvip.ui.main.MainActivity","cardBody"
"P1","server_exact","server.p1.dashboard.roaming_title","dashboard","Roaming obavijest!","漫游提示！","exact+activity+view_id","draft","服务端提示卡片","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.dashboard.roaming_body","dashboard","Cjelokupan iznos MB iz trenutno aktivne tarife možeš trošiti u inozemstvu EU/EEA bez dodatne roaming naknade","当前套餐中的全部 MB 流量可在欧盟/欧洲经济区使用，无需支付额外漫游费。","exact+activity+view_id","draft","保留 MB 与 EU/EEA","hr.infinum.mojvip.ui.main.MainActivity","contentLabel"
"P1","server_exact","server.p1.profile.title","profile","Moj profil","我的资料","exact+activity+view_id","draft","实际页面另有尾随空格别名","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.prepaid_label","profile","A1 tarifa na bonove","A1 预付费套餐","exact+activity+view_id","draft","号码与余额保持原样","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.profile.start_plan","profile","Start na bonove","Start 预付费套餐","exact+activity+view_id","draft","Start 为产品名","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.change_plan","profile","Promijeni tarifu","更换套餐","exact+activity+view_id","draft","不触发套餐变更","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.profile.postpaid_title","profile","Zanima te pretplata?","想了解后付费套餐吗？","exact+activity+view_id","draft","服务端推荐卡片","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.postpaid_body","profile","Odaberi tarifu po svojoj mjeri i uživaj u puno giga i minuta!","选择适合你的套餐，畅享充足流量和通话分钟数！","exact+activity+view_id","draft","服务端推荐卡片","hr.infinum.mojvip.ui.main.MainActivity","descriptionLabel"
"P1","server_exact","server.p1.offer.browser_a11y","profile","Pogledaj ponudu. Otvara se u pregledniku","查看套餐，将在浏览器中打开","exact+activity+view_id","draft","无障碍说明","hr.infinum.mojvip.ui.main.MainActivity","simpleButton"
"P1","server_exact","server.p1.profile.requests_heading","profile","Zahtjevi","申请","exact+activity+view_id","draft","服务端分组标题","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.profile.requests_title","profile","Moj A1 zahtjevi","Moj A1 申请","exact+activity+view_id","draft","服务端入口","hr.infinum.mojvip.ui.main.MainActivity","titleLabel"
"P1","server_exact","server.p1.profile.requests_subtitle","profile","Statusi Moj A1 aktivacija i usluga","查看 Moj A1 开通和服务申请状态","exact+activity+view_id","draft","服务端入口说明","hr.infinum.mojvip.ui.main.MainActivity","subtitleLabel"
"P1","server_exact","server.p1.trend.graph_title","trend","Trend uplate bonova","充值趋势","exact+activity+view_id","draft","图表月份缩写由图表组件绘制，暂不修改","hr.infinum.mojvip.ui.main.MainActivity","billGraphTitle"
"P1","server_exact","server.p1.trend.history_heading","trend","Pregled uplata","充值记录","exact+activity+view_id","draft","日期金额保持原样","hr.infinum.mojvip.ui.main.MainActivity","label"
"P1","server_exact","server.p1.shop.options_heading","shop","Opcije i tarife","选项和套餐","exact+activity+view_id","draft","商城分组","hr.infinum.mojvip.ui.main.MainActivity","shopSectionTitle"
"P1","server_exact","server.p1.shop.surf","shop","Voliš surfati?","喜欢上网？","exact+activity+view_id","draft","商城入口","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
"P1","server_exact","server.p1.shop.talk","shop","Voliš pričati?","喜欢通话？","exact+activity+view_id","draft","商城入口","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
"P1","server_exact","server.p1.shop.activate_plan","shop","Aktiviraj tarifu","开通套餐","exact+activity+view_id","draft","只翻译入口，不触发开通","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
"P1","server_exact","server.p1.shop.snacks","shop","Snackovi","流量加餐","exact+activity+view_id","draft","商城入口","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
"P1","server_exact","server.p1.shop.esim","shop","Želim E-sim","我想要 eSIM","exact+activity+view_id","draft","eSIM 固定写法","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
"P1","server_exact","server.p1.shop.mobile_heading","shop","Mobilne usluge","移动服务","exact+activity+view_id","draft","商城分组","hr.infinum.mojvip.ui.main.MainActivity","shopSectionTitle"
"P1","server_exact","server.p1.shop.security_heading","shop","Sigurnost","安全","exact+activity+view_id","draft","商城分组","hr.infinum.mojvip.ui.main.MainActivity","shopSectionTitle"
"P1","server_exact","server.p1.shop.entertainment_heading","shop","Entertainment","娱乐","exact+activity+view_id","draft","商城分组","hr.infinum.mojvip.ui.main.MainActivity","shopSectionTitle"
"P1","server_exact","server.p1.shop.playstation","shop","PlayStation® Vouchers","PlayStation® 充值券","exact+activity+view_id","draft","品牌名保持原样","hr.infinum.mojvip.ui.main.MainActivity","shopSectionItemTitle"
"P1","server_exact","server.p1.notifications.title","notifications","Obavijesti","通知","exact+activity+view_id","draft","实际页面另有尾随空格别名","hr.infinum.mojvip.ui.shared.generic.GenericActivity","titleLabel"
"P1","server_exact","server.p1.notifications.empty_title","notifications","Još nemaš obavijesti","暂无通知","exact+activity+view_id","draft","实际页面含首尾空白别名","hr.infinum.mojvip.ui.shared.generic.GenericActivity","titleLabel"
"P1","server_exact","server.p1.notifications.empty_body","notifications","Trenutno nemaš nijednu obavijest. Vrati se kasnije.","目前没有任何通知，请稍后再来。","exact+activity+view_id","draft","实际页面含换行别名","hr.infinum.mojvip.ui.shared.generic.GenericActivity","label"
"P1","android_resource","change_password","login_settings","Promjena lozinke","更改密码","resource_name","draft","登录设置二级页标题","",""
"P1","android_resource","change_password_text","login_settings","Lozinka za login u aplikaciju","应用登录密码","resource_name","draft","登录设置二级页说明","",""
"P1","android_resource","additional_login_options","login_settings","Dodatne login opcije","其他登录选项","resource_name","draft","登录设置分组标题","",""
"P1","android_resource","turn_on_push_notifications","notification_settings","Uključi push notifikacije","开启推送通知","resource_name","draft","通知设置二级页说明","",""
"P1","android_resource","system_push_notifications_settings","notification_settings","Da bi se push notifikacije mogle uključiti, potrebno je u postavkama uređaja omogućiti sistemske notifikacije.","要启用推送通知，需要在设备设置中允许系统通知。","resource_name","draft","不自动跳转系统设置","",""
"P1","android_resource","turn_on_notifications","notification_settings","Uključi notifikacije","开启通知","resource_name","draft","只翻译按钮，不代替用户操作","",""
"P1","android_resource","onboarding_postpaid_tpo","onboarding","Jednim pogledom saznaj svoju trenutnu potrošnju","一眼查看当前用量","resource_name","draft","使用指南第 1 页","",""
"P1","android_resource","onboarding_voucher","onboarding","Obnovi račun bonom ili podijeli megabajte","使用充值券充值或分享流量","resource_name","draft","使用指南第 2 页","",""
"P1","android_resource","onboarding_switch_units","onboarding","Switchanjem jedinica mijenjaj minute u gige i obrnuto","切换单位，在通话分钟和流量之间互换","resource_name","draft","使用指南第 3 页","",""
"P1","android_resource","onboarding_shop","onboarding","Sve što trebaš pronađi u Shopu na jednome mjestu","在商城中一站式找到所需服务","resource_name","draft","使用指南第 4 页","",""
"P1","android_resource","onboarding_prepay","onboarding","Unaprijed plati tarifu i ostvari jos veće uštede","提前支付套餐费用，享受更多优惠","resource_name","draft","使用指南第 5 页，源文 jos 无重音符号","",""
"P1","android_resource","skip","onboarding","Preskoči","跳过","resource_name","draft","使用指南跳过按钮","",""
"P1","android_resource","finish","onboarding","Završi","完成","resource_name","draft","使用指南完成按钮","",""
"P1","android_resource","a11y_previous_page","onboarding","Prethodna stranica","上一页","resource_name","draft","使用指南无障碍标签","",""
"P1","android_resource","a11y_next_page","onboarding","Sljedeća stranica","下一页","resource_name","draft","使用指南无障碍标签","",""
"P1","server_exact","server.p1.info.prepaid.title","profile_info","A1 tarifa na bonove","A1 预付费套餐","exact+activity+view_id","draft","套餐说明弹窗标题","hr.infinum.mojvip.ui.info.InfoActivity","titleLabel"
"P1","server_exact","server.p1.info.prepaid.body","profile_info","Korisnici bonova mogu promijeniti A1 tarifni model u bilo kojem trenutku. Informacija o naknadi za odabrani tarifni model i mogućoj naplati dobiva se u procesu promjene. Više informacija o tarifnim modelima na bonove i pretplatu potraži na www.a1.hr","预付费用户可随时更换 A1 套餐。在更换过程中会显示所选套餐的费用及可能产生的收费。有关预付费和后付费套餐的更多信息，请访问 www.a1.hr。","exact+activity+view_id","draft","网址保持原样","hr.infinum.mojvip.ui.info.InfoActivity","descriptionLabel"
"P1","server_exact","server.p1.change_plan.title","change_plan","Upoznaj nove tarife koje možeš prilagoditi svojim potrebama","了解可按需定制的新套餐","exact+activity+view_id","draft","更换套餐介绍弹窗","hr.infinum.mojvip.ui.shared.generic.popup.GenericPopupActivity","titleLabel"
"P1","server_exact","server.p1.change_plan.body","change_plan","Naše nove tarife na bonove možeš aktivirati na 1, 3 ili 6 mjeseci. Uz fleksibilnost, donosimo i neke nove popuste :)","全新预付费套餐可选择开通 1、3 或 6 个月。灵活选择之余，还可享受新的优惠 :)","exact+activity+view_id","draft","数字与表情保持原样","hr.infinum.mojvip.ui.shared.generic.popup.GenericPopupActivity","descriptionLabel"
"P1","server_exact","server.p1.change_plan.more.button","change_plan","Saznaj više","了解更多","exact+activity+view_id","draft","按钮无障碍说明","hr.infinum.mojvip.ui.shared.generic.popup.GenericPopupActivity","simpleButton"
"P1","server_exact","server.p1.change_plan.more.label","change_plan","Saznaj više","了解更多","exact+activity+view_id","draft","按钮可见文本","hr.infinum.mojvip.ui.shared.generic.popup.GenericPopupActivity","label"
"P1","server_exact","server.p1.plan_intro.heading","plan_intro","Pronađi tarifu za sebe, plati unaprijed i uštedi","找到适合你的套餐，提前支付更省钱","exact+activity+view_id","draft","套餐选择介绍页","hr.infinum.mojvip.ui.shared.generic.GenericActivity","label"
"P1","server_exact","server.p1.plan_intro.how","plan_intro","Kako to funkcionira? ","如何操作？","exact+activity+view_id","draft","源文含尾随空格","hr.infinum.mojvip.ui.shared.generic.GenericActivity","titleLabel"
"P1","server_exact","server.p1.plan_intro.step1","plan_intro","Pronađi tarifu koja odgovara tvojim željama i potrebama","找到符合你的喜好和需求的套餐","exact+activity+view_id","draft","步骤 1","hr.infinum.mojvip.ui.shared.generic.GenericActivity","description"
"P1","server_exact","server.p1.plan_intro.step2","plan_intro","Odaberi period na koji želiš aktivirati tarifu i provjeri popuste","选择套餐开通期限并查看优惠","exact+activity+view_id","draft","步骤 2","hr.infinum.mojvip.ui.shared.generic.GenericActivity","description"
"P1","server_exact","server.p1.plan_intro.step3","plan_intro","Plati tarifu unaprijed — sredstvima na računu ili karticom u shopu","使用账户余额或在商城中用银行卡提前支付套餐费用","exact+activity+view_id","draft","步骤 3，不触发支付","hr.infinum.mojvip.ui.shared.generic.GenericActivity","description"
"P1","server_exact","server.p1.plan_intro.step4","plan_intro","Uživaj u bezbrižnosti i uštedama koje su tu za tebe","轻松享受专属优惠和省心服务","exact+activity+view_id","draft","步骤 4","hr.infinum.mojvip.ui.shared.generic.GenericActivity","description"
"P1","server_exact","server.p1.plan_intro.find.button","plan_intro","Pronađi svoju tarifu","查找适合我的套餐","exact+activity+view_id","draft","按钮无障碍说明","hr.infinum.mojvip.ui.shared.generic.GenericActivity","simpleButton"
"P1","server_exact","server.p1.plan_intro.find.label","plan_intro","Pronađi svoju tarifu","查找适合我的套餐","exact+activity+view_id","draft","按钮可见文本","hr.infinum.mojvip.ui.shared.generic.GenericActivity","label"
"P1","server_exact","server.p1.plan_products.faq.a11y","plan_products","Najčešća pitanja","常见问题","exact+activity+view_id","draft","套餐列表操作区无障碍说明","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","actionTouchTargetArea"
"P1","server_exact","server.p1.plan_products.faq.title","plan_products","Najčešća pitanja","常见问题","exact+activity+view_id","draft","套餐列表标题栏操作","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","actionTitle"
"P1","server_exact","server.p1.plan_products.heading","plan_products","Odaberi tarifu po svojoj mjeri","选择适合你的套餐","exact+activity+view_id","draft","套餐列表标题","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","headerLabel"
"P1","server_exact","server.p1.plan_products.subheading","plan_products","Na sljedećem koraku možeš birati period na koji želiš kupiti željenu tarifu :)","下一步可选择要购买该套餐的期限 :)","exact+activity+view_id","draft","不选择套餐","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","subheaderLabel"
"P1","server_exact","server.p1.plan_products.ok","plan_products","Ok tarifa","Ok 套餐","exact+activity+view_id","draft","产品名 Ok 保持原样","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","nameLabel"
"P1","server_exact","server.p1.plan_products.fer","plan_products","Fer tarifa","Fer 套餐","exact+activity+view_id","draft","产品名 Fer 保持原样","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","nameLabel"
"P1","server_exact","server.p1.plan_products.ful","plan_products","Ful tarifa","Ful 套餐","exact+activity+view_id","draft","产品名 Ful 保持原样","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","nameLabel"
"P1","server_exact","server.p1.plan_products.fleterica","plan_products","Fleterica tarifa","Fleterica 套餐","exact+activity+view_id","draft","产品名 Fleterica 保持原样","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","nameLabel"
"P1","server_exact","server.p1.plan_products.unit","plan_products","EUR/mj.","EUR/月","exact+activity+view_id","draft","货币保持原样","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","primaryUnitLabel"
"P1","server_exact","server.p1.plan_products.continue.button","plan_products","Nastavi na popuste","继续选择优惠","exact+activity+view_id","draft","只翻译按钮，不点击","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","simpleButton"
"P1","server_exact","server.p1.plan_products.continue.label","plan_products","Nastavi na popuste","继续选择优惠","exact+activity+view_id","draft","按钮可见文本","hr.infinum.mojvip.ui.upfrontpayment.choosetariff.UpfrontPaymentChooseTariffActivity","label"
"P1","server_exact","server.p1.requests.toolbar","requests","Moj A1 zahtjevi","Moj A1 申请","exact+activity+view_id","draft","Moj A1 申请页标题","hr.infinum.mojvip.ui.shared.generic.GenericActivity","toolbarTitle"
"P1","server_exact","server.p1.requests.email_title","requests","E-mail obavijesti","邮件通知","exact+activity+view_id","draft","申请状态邮件通知","hr.infinum.mojvip.ui.shared.generic.GenericActivity","titleLabel"
"P1","server_exact","server.p1.requests.email_body","requests","Želiš li primati obavijesti o statusu zahtjeva i putem maila, ostavi nam svoju e-mail adresu","如果希望通过电子邮件接收申请状态通知，请留下你的电子邮箱地址。","exact+activity+view_id","draft","不输入真实邮箱","hr.infinum.mojvip.ui.shared.generic.GenericActivity","descriptionLabel"
"P1","server_exact","server.p1.requests.email.button","requests","Unesi e-mail adresu","输入电子邮箱地址","exact+activity+view_id","draft","按钮无障碍说明，不点击","hr.infinum.mojvip.ui.shared.generic.GenericActivity","simpleButton"
"P1","server_exact","server.p1.requests.email.label","requests","Unesi e-mail adresu","输入电子邮箱地址","exact+activity+view_id","draft","按钮可见文本","hr.infinum.mojvip.ui.shared.generic.GenericActivity","label"
"P1","server_exact","server.p1.snacks.title","snacks","Snackovi ","流量加餐","exact+activity+view_id","draft","页面标题含尾随空格","hr.infinum.mojvip.ui.shared.generic.GenericActivity","titleLabel"
"P1","server_exact","server.p1.snacks.card_title","snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","与首页卡片译法一致","hr.infinum.mojvip.ui.shared.generic.GenericActivity","cardTitle"
"P1","server_exact","server.p1.snacks.card_body","snacks","Kada trebaš podebljati tarifu, snackovi su tu za tebe!","需要增加套餐流量时，流量加餐随时为你准备！","exact+activity+view_id","draft","与首页卡片译法一致","hr.infinum.mojvip.ui.shared.generic.GenericActivity","cardBody"
"P1","server_exact","server.p1.snacks.first_button","snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","只翻译按钮，不领取","hr.infinum.mojvip.ui.shared.generic.GenericActivity","firstSnackButton"
"P1","server_exact","server.p1.snacks.second_button","snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","只翻译按钮，不领取","hr.infinum.mojvip.ui.shared.generic.GenericActivity","secondSnackButton"
"P1","server_exact","server.p1.snacks.third_button","snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","只翻译按钮，不领取","hr.infinum.mojvip.ui.shared.generic.GenericActivity","thirdSnackButton"
"P1","server_exact","server.p1.dashboard.snacks.first_button","dashboard_snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","首页横向轮播按钮，不领取","hr.infinum.mojvip.ui.main.MainActivity","firstSnackButton"
"P1","server_exact","server.p1.dashboard.snacks.second_button","dashboard_snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","首页横向轮播按钮，不领取","hr.infinum.mojvip.ui.main.MainActivity","secondSnackButton"
"P1","server_exact","server.p1.dashboard.snacks.third_button","dashboard_snacks","Zgrabi snack!","领取流量加餐！","exact+activity+view_id","draft","首页横向轮播按钮，不领取","hr.infinum.mojvip.ui.main.MainActivity","thirdSnackButton"
